rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
76,380.0,0.2631578947368421,0.5263157894736842,0.6245614035087719,0.5263157894736842,0.6245614035087719,0.0,100.0,200.0,237.33333333333331,200.0,237.33333333333331,0.0,3,14.367279497496838,6.2289712321918795,6.1786580172687815,1609.6829948914842,True,50833cac
77,490.0,0.20408163265306123,0.5224489795918368,0.7,0.5224489795918368,0.7,0.0,100.0,256.0,343.0,256.0,343.0,0.0,6,14.158336674933025,5.881784076294338,5.826347071898351,1690.5577353165068,True,e491b372
78,435.0,0.44329501915708813,0.41379310344827586,0.5091954022988505,0.41379310344827586,0.5091954022988505,0.0,192.83333333333334,180.0,221.49999999999997,180.0,221.49999999999997,0.0,6,14.14862048441637,5.891910883500184,5.835314075149447,1506.4047349437349,True,e18fe237
79,435.0,0.3365900383141763,0.41379310344827586,0.6045977011494252,0.41379310344827586,0.6045977011494252,0.0,146.41666666666669,180.0,263.0,180.0,263.0,0.0,6,14.003784335867294,5.9614190718246345,5.903670923746021,1501.5264521672461,True,ae24ea34
80,380.0,0.4543859649122807,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.0,172.66666666666669,200.0,180.0,200.0,180.0,0.0,4,13.976145845612791,6.163936963310446,6.123312869400204,1643.7610379096977,True,24973333
81,490.0,0.4346938775510204,0.4448979591836735,0.4782312925170068,0.4448979591836735,0.4782312925170068,0.0,213.0,218.0,234.33333333333334,218.0,234.33333333333334,0.0,6,13.88047153519824,5.93960309528294,5.872608434775307,1669.8237879329413,True,c4ee477d
82,435.0,0.3365900383141763,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.41379310344827586,0.0,146.41666666666669,180.0,180.0,180.0,180.0,0.0,4,13.711144818263165,5.937235027086723,5.907934315835888,1690.977055283898,True,996dbb80
83,490.0,0.3193877551020408,0.4448979591836735,0.5891156462585034,0.4448979591836735,0.5891156462585034,0.0,156.5,218.0,288.6666666666667,218.0,288.6666666666667,0.0,6,13.677936304176683,5.943032783905483,5.875445933058097,1662.7705659308672,True,a2bffe21
84,490.0,0.20408163265306123,0.4448979591836735,0.7,0.4448979591836735,0.7,0.0,100.0,218.0,343.0,218.0,343.0,0.0,6,13.100847109017877,5.867884341290172,5.80117666024124,1654.2469395431694,True,2ff8b944
85,380.0,0.2631578947368421,0.5087719298245614,0.47368421052631576,0.5087719298245614,0.47368421052631576,0.0,100.0,193.33333333333334,180.0,193.33333333333334,180.0,0.0,3,12.900124182433956,5.500046427527367,5.482116599469834,1506.3740109450707,True,cbaabbb3
