rank,a_nm,h_spine_nm,spine_full_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,wl_lo_nm,wl_hi_nm,wl_center_nm
248,380.0,209.0,418.0,186.7,253.9,186.7,220.8,57.0,6,26.81,6.1,1508.0,1534.0,1521.0
249,380.0,209.0,418.0,171.5,268.3,201.8,206.4,57.0,6,26.79,6.1,1508.3,1534.3,1521.3
250,435.0,146.4,292.8,205.0,304.5,205.0,304.5,0.0,6,26.66,5.82,1593.3,1616.5,1604.9
251,380.0,136.3,272.7,193.3,266.0,193.3,266.0,0.0,6,26.63,5.82,1407.5,1431.3,1419.4
252,380.0,209.0,418.0,192.6,218.1,167.4,256.6,57.0,6,26.46,6.09,1505.1,1531.0,1518.0
253,380.0,209.0,418.0,180.0,253.9,180.0,220.8,57.0,6,26.42,6.0,1499.7,1525.9,1512.8
254,380.0,209.0,418.0,186.7,237.3,186.7,237.3,57.0,6,26.36,6.14,1507.5,1533.3,1520.4
255,380.0,209.0,418.0,183.8,218.1,216.2,256.6,57.0,6,26.34,6.32,1523.3,1548.9,1536.1
256,380.0,209.0,418.0,165.4,237.3,194.6,237.3,57.0,6,26.33,6.04,1502.2,1528.3,1515.3
257,380.0,209.0,418.0,192.6,253.9,167.4,220.8,57.0,6,26.32,6.06,1505.3,1531.4,1518.3
258,380.0,172.7,345.3,193.3,237.3,193.3,237.3,0.0,6,26.28,5.78,1423.1,1447.6,1435.3
259,380.0,209.0,418.0,165.4,253.9,194.6,220.8,57.0,6,26.27,6.03,1501.8,1528.0,1514.9
260,380.0,209.0,418.0,200.0,208.7,200.0,208.7,0.0,6,26.13,5.82,1439.5,1464.4,1451.9
261,380.0,209.0,418.0,214.0,253.9,186.0,220.8,57.0,6,26.07,6.29,1521.3,1546.9,1534.1
262,380.0,209.0,418.0,183.8,268.3,216.2,206.4,57.0,6,26.07,6.31,1521.0,1546.5,1533.7
