rank,a_nm,h_spine,Wt,ht,Wb,hb,delta_s,h_spine_nm,Wt_nm,ht_nm,Wb_nm,hb_nm,delta_s_nm,band,bw_nm,ng_mean,ng_median,wl_center_nm,meets_target,params_hash
241,380.0,0.55,0.4836415362731151,0.7060259344012205,0.5689900426742531,0.5430968726163234,0.15,209.00000000000003,183.78378378378375,268.2898550724638,216.2162162162162,206.3768115942029,57.0,6,26.072197261223437,6.310259529160635,6.218990694641571,1533.7376017979823,True,fbc58d38
242,380.0,0.55,0.5751334858886348,0.6681354549163606,0.44241037376048825,0.5809873521011831,0.15,209.00000000000003,218.5507246376812,253.89147286821702,168.11594202898553,220.77519379844958,57.0,6,26.06715690496253,6.173338698734423,5.980622141612504,1529.6213384718744,True,2feb93ad
243,380.0,0.55,0.5630354957160342,0.5739212897107633,0.48959608323133413,0.6752015173067804,0.15,209.00000000000003,213.95348837209298,218.09009009009006,186.04651162790697,256.57657657657654,57.0,6,26.043910753313185,6.369457716111267,6.350226595762812,1534.20933555153,True,d4ded745
244,380.0,0.55,0.47368421052631576,0.6245614035087719,0.47368421052631576,0.6245614035087719,0.15,209.00000000000003,180.0,237.33333333333331,180.0,237.33333333333331,57.0,6,26.03276580484112,6.038203215285495,5.838045693633047,1512.268020065947,True,52915a7d
245,380.0,0.55,0.5442676458588331,0.5739212897107633,0.4732762137902897,0.6752015173067804,0.15,209.00000000000003,206.8217054263566,218.09009009009006,179.84496124031008,256.57657657657654,57.0,6,26.007002458847637,6.237339443274177,6.126459620391643,1525.9194082285212,True,f4b209be
246,380.0,0.55,0.5263157894736842,0.7060259344012205,0.5263157894736842,0.5430968726163234,0.15,209.00000000000003,200.0,268.2898550724638,200.0,206.3768115942029,57.0,6,25.97824631272374,6.3628948033535835,6.32264072126226,1534.9570146985031,True,1cbf02b8
247,380.0,0.55,0.5442676458588331,0.6681354549163606,0.4732762137902897,0.5809873521011831,0.15,209.00000000000003,206.8217054263566,253.89147286821702,179.84496124031008,220.77519379844958,57.0,6,25.962014634391835,6.183713358524071,5.986918007797391,1525.931871051272,True,a95f3780
248,380.0,0.55,0.5087719298245614,0.7060259344012205,0.5087719298245614,0.5430968726163234,0.15,209.00000000000003,193.33333333333334,268.2898550724638,193.33333333333334,206.3768115942029,57.0,6,25.829323921973355,6.340383267064886,6.256473453004167,1532.645634315705,True,d48f8f8f
249,380.0,0.55,0.525499796001632,0.5739212897107633,0.4569563443492452,0.6752015173067804,0.15,209.00000000000003,199.68992248062017,218.09009009009006,173.64341085271317,256.57657657657654,57.0,6,25.804791294112874,6.192117608366285,5.984685915482506,1521.8852831985216,True,bb2c745a
250,380.0,0.55,0.525499796001632,0.6681354549163606,0.4569563443492452,0.5809873521011831,0.15,209.00000000000003,199.68992248062017,253.89147286821702,173.64341085271317,220.77519379844958,57.0,6,25.615781753951524,6.044158469999986,5.903586048134265,1523.3730868178077,True,df8c38d5
251,380.0,0.55,0.5751334858886348,0.5739212897107633,0.44241037376048825,0.6752015173067804,0.15,209.00000000000003,218.5507246376812,218.09009009009006,168.11594202898553,256.57657657657654,57.0,6,25.511620115795267,6.173248784525135,6.104353297025757,1530.0923298168307,True,b708f237
252,380.0,0.55,0.5067319461444307,0.6245614035087719,0.44063647490820074,0.6245614035087719,0.15,209.00000000000003,192.55813953488368,237.33333333333331,167.4418604651163,237.33333333333331,57.0,6,25.47452971619009,6.010701076870202,5.858710574421746,1518.4069470904442,True,7c2ae9ea
253,380.0,0.55,0.467520151730678,0.6681354549163606,0.5500237079184448,0.5809873521011831,0.15,209.00000000000003,177.65765765765764,253.89147286821702,209.00900900900902,220.77519379844958,57.0,6,25.268457687776845,6.116346073351078,5.997307500226335,1526.3587870860727,True,f2277690
254,380.0,0.55,0.467520151730678,0.6245614035087719,0.5500237079184448,0.6245614035087719,0.15,209.00000000000003,177.65765765765764,237.33333333333331,209.00900900900902,237.33333333333331,57.0,6,25.261015586009762,6.14252242032463,6.0358270817549515,1526.590513906302,True,9ae2e122
255,380.0,0.55,0.5630354957160342,0.6245614035087719,0.48959608323133413,0.6245614035087719,0.15,209.00000000000003,213.95348837209298,237.33333333333331,186.04651162790697,237.33333333333331,57.0,6,25.11648078282701,6.295193346221874,6.259900395457495,1534.4310391746658,True,943b7799
256,380.0,0.55,0.5442676458588331,0.6245614035087719,0.4732762137902897,0.6245614035087719,0.15,209.00000000000003,206.8217054263566,237.33333333333331,179.84496124031008,237.33333333333331,57.0,6,24.98383589846958,6.158861598125135,6.049489121534204,1526.1899413103524,True,bef8b1c2
257,380.0,0.55,0.4513987671882408,0.6681354549163606,0.5310573731626362,0.5809873521011831,0.15,209.00000000000003,171.5315315315315,253.89147286821702,201.80180180180176,220.77519379844958,57.0,6,24.90493884705961,6.073482350807124,5.920900696204875,1521.984104998168,True,5b8c866c
258,380.0,0.55,0.4513987671882408,0.6245614035087719,0.5310573731626362,0.6245614035087719,0.15,209.00000000000003,171.5315315315315,237.33333333333331,201.80180180180176,237.33333333333331,57.0,6,24.820258925754842,6.102299846777184,5.960383819521086,1522.1937777792489,True,e06a55b8
